OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
N-SAT-110 (JCSAT-110),2000-060A,2024-08-16T07:56:28.635936,0.99184272,0.0007228,5.0756,78.0884,48.1095,315.0804,0,U,26559,999,8718,0,-1.75e-06,0
COSMOS 2375 [GLONASS],2000-063A,2024-08-15T17:18:26.246304,2.13101727,0.0006585,65.5517,336.5979,29.9928,330.0688,0,U,26564,999,18549,0,-6.4e-07,0
COSMOS 2376 [GLONASS],2000-063B,2024-08-11T20:14:01.819104,2.13102587,0.0003814,65.5579,336.7582,37.7924,288.5673,0,U,26565,999,18544,0,-7.2e-07,0
COSMOS 2374 [GLONASS],2000-063C,2024-08-16T10:16:47.799264,2.13099706,0.0075668,65.5301,336.3393,212.1984,209.9872,0,U,26566,999,18548,0,-6.2e-07,0
SL-12 R/B(2),2000-063F,2024-08-15T14:46:04.461024,2.13431088,0.0011471,65.5341,335.6195,2.8507,7.7523,0,U,26569,999,18581,0,-6.4e-07,0
USA 153,2000-065A,2024-08-16T20:14:51.849024,1.00272268,9.36e-05,10.458,40.5615,217.2493,146.2021,0,U,26575,999,2490,0,-3.22e-06,0
IABS R/B,2000-065C,2024-08-16T07:41:34.544544,1.01184113,0.0054914,13.7861,6.6244,259.3672,100.0746,0,U,26577,999,1944,0,-2.79e-06,0
THURAYA-1,2000-066A,2024-08-16T11:41:25.065024,0.98983197,0.0004648,9.068,24.2444,36.2684,143.1977,0,U,26578,999,8653,0,6.6e-07,0
AMC-6,2000-067A,2024-08-16T17:35:37.484736,1.0027236,0.0002585,0.0163,67.5422,70.8278,312.1325,0,U,26580,999,8727,0,1.07e-06,0
SL-12 R/B(2),2000-067D,2024-08-16T09:05:09.576384,1.93855511,0.5501306,18.9216,350.2536,226.5846,72.2272,0,U,26583,999,16825,0,1.09e-06,0
INTELSAT 12 (IS-12),2000-068A,2024-08-16T21:31:59.981664,0.99029426,0.0010518,6.6599,71.7931,184.0195,158.4058,0,U,26590,999,8695,0,-2.37e-06,0
ARIANE 44LP R/B,2000-068B,2024-08-16T19:04:09.598656,3.19729536,0.6584543,6.6107,141.5844,25.0717,355.9269,0,U,26591,999,23757,0.004684,0.00019499,0
CHINASAT 32 (BEIDOU-1 G1),2000-069A,2024-08-16T12:22:01.308288,0.98906077,0.0008733,11.2393,37.2047,333.0304,46.7868,0,U,26599,999,8656,0,-1.5e-07,0
EUTELSAT 33B,2002-051A,2024-08-16T13:38:49.623360,1.00375972,0.0010775,7.3704,66.9625,326.475,223.2127,0,U,27554,999,7964,0,-2.22e-06,0
DELTA 4 R/B,2002-051B,2024-08-16T03:56:56.109120,2.35828992,0.7104989,13.8113,294.2853,89.1564,344.1258,0,U,27555,999,18707,-8.35e-06,-5.7e-07,0
ALSAT 1,2002-054A,2024-08-16T19:45:01.011168,14.75446316,0.0019532,98.2027,29.9696,263.6528,96.2456,0,U,27559,999,16445,0.0005459,3.669e-05,0
MOZHAYETS,2002-054B,2024-08-16T21:04:09.091200,14.60034057,0.0038154,98.4943,59.8664,293.1341,178.2814,0,U,27560,999,15347,0.00054332,2.584e-05,0
RUBIN-3 & SL-8 R/B,2002-054C,2024-08-16T10:28:10.024032,14.57401618,0.0045754,98.524,64.7976,36.7187,323.7131,0,U,27561,999,15307,0.00038286,1.711e-05,0
TDRS 10,2002-055A,2024-08-16T13:41:36.619872,1.00270916,0.0003562,9.6752,44.9692,354.6817,320.0243,0,U,27566,999,7951,0,8.8e-07,0
MIDORI II (ADEOS-II),2002-056A,2024-08-16T10:02:42.619776,14.28466779,8.12e-05,98.6945,175.8714,134.1442,225.9806,0,U,27597,999,12885,0.00053189,1.287e-05,0
FEDSAT,2002-056B,2024-08-16T18:33:53.203680,14.29259249,0.0009945,98.7601,184.4438,126.0524,234.158,0,U,27598,999,13012,0.0002949,7.05e-06,0
WEOS,2002-056C,2024-08-16T19:53:51.263520,14.30225274,0.0010845,98.7172,181.0305,109.1618,251.0739,0,U,27599,999,13065,0.00036784,9.09e-06,0
MICRO LABSAT,2002-056D,2024-08-16T10:04:15.331296,14.30294539,0.0011812,98.7132,179.8107,107.3695,252.878,0,U,27600,999,13077,0.00033521,8.26e-06,0
H-2A R/B,2002-056E,2024-08-16T10:18:32.384736,14.32923591,0.0072375,98.2354,203.5279,62.3197,50.4827,0,U,27601,999,13241,0.00056435,1.547e-05,0
NSS-6,2002-057A,2024-08-16T13:52:34.099680,0.99124528,0.0002547,3.637,82.612,147.6462,57.9058,0,U,27603,999,7928,0,-1.9e-06,0
ARIANE 44L R/B,2002-057B,2024-08-16T19:15:20.618208,2.47151752,0.7094337,7.1277,192.6295,178.194,187.3934,0,U,27604,999,18302,0.0021852,1.902e-05,0
RUBIN-2 & SAFIR-M,2002-058A,2024-08-16T19:59:31.421184,14.77368716,0.0027896,64.5567,26.8976,81.8842,278.5424,0,U,27605,999,16567,0.00045771,3.146e-05,0
LATINSAT B,2002-058B,2024-08-16T03:09:17.442432,14.74754326,0.0036862,64.5569,141.0844,99.9995,260.527,0,U,27606,999,16319,0.00048222,3.133e-05,0
SAUDISAT 1C (SO-50),2002-058C,2024-08-16T04:04:35.397696,14.79378306,0.0025446,64.5557,37.1306,79.6574,280.7397,0,U,27607,999,16519,0.00070825,5.187e-05,0
UNISAT-2,2002-058D,2024-08-16T16:54:46.257984,14.81232031,0.0017265,64.5559,292.8225,30.4041,329.8061,0,U,27608,999,16762,0.00048655,3.671e-05,0
TRAILBLAZER 2,2002-058E,2024-08-16T11:41:56.717664,14.79992658,0.0020482,64.5549,241.2093,341.9487,18.0888,0,U,27609,999,16852,0.00025081,1.767e-05,0
SL-24 R/B,2002-058F,2024-08-16T09:48:55.700928,14.28905792,0.0315722,64.5558,273.9426,250.7631,195.4578,0,U,27610,999,12918,0.00027352,1.053e-05,0
LATINSAT A,2002-058H,2024-08-16T09:21:50.483232,14.82511965,0.0018145,64.5539,237.7953,358.4992,1.6056,0,U,27612,999,16821,0.00047778,3.718e-05,0
SL-8 DEB,2002-054D,2024-08-16T02:34:12.626976,14.70026814,0.0031436,98.3464,76.3059,161.7051,198.5293,0,U,27768,999,15659,0.0013153,7.906e-05,0
SL-8 DEB,2002-054E,2024-08-14T20:15:21.586176,14.73972327,0.0032666,98.3075,71.4122,60.9658,299.4816,0,U,27769,999,15841,0.0014691,9.689e-05,0
RITE TARGET 1,2002-056F,2024-08-13T03:53:06.216000,14.34849331,0.0010899,98.6614,183.3966,44.873,315.3334,0,U,28454,999,58404,0.0013583,3.816e-05,0
RITE TARGET 2,2002-056G,2024-08-16T03:55:06.615264,14.3504364,0.0011159,98.6653,187.3284,38.2229,321.9745,0,U,28455,999,57879,0.001245,3.508e-05,0
COSMOS 2406,2004-021A,2024-08-15T23:48:07.783200,14.11945851,0.0008348,71.0004,59.895,89.4228,270.7849,0,U,28352,999,4010,0.00033062,5.58e-06,0
SL-16 R/B,2004-021B,2024-08-16T10:02:12.490368,14.14441979,0.000571,71.0041,349.126,211.1791,148.8994,0,U,28353,999,4219,7.2181e-05,9.1e-07,0
SL-16 DEB,2004-021C,2024-08-16T10:39:10.627200,13.6873715,0.0222956,70.9567,11.4109,213.2194,145.4743,0,U,28354,999,761,0.00076685,7.42e-06,0
SL-16 DEB,2004-021D,2024-08-15T23:58:36.721632,13.67998987,0.0228054,70.9672,39.352,187.8353,309.4874,0,U,28355,999,699,0.00071963,6.9e-06,0
SL-16 DEB,2004-021E,2024-08-15T22:16:09.653664,13.69140479,0.0218467,71.0612,80.5569,78.9949,26.4661,0,U,28356,999,790,0.00047594,4.47e-06,0
SL-16 DEB,2004-021F,2024-08-16T03:07:25.937184,13.73272964,0.0200746,71.0753,350.0422,330.9945,207.1372,0,U,28357,999,1087,0.00021203,1.84e-06,0
INTELSAT 10-02,2004-022A,2024-08-16T19:58:14.073312,1.00270314,9.42e-05,0.0457,268.7963,167.0761,188.4057,0,U,28358,999,7391,0,-9e-08,0
BREEZE-M DEB [TANK],2004-022B,2024-08-16T07:23:16.512000,6.39397031,0.4548691,49.5205,270.4409,331.7894,9.7288,0,U,28359,999,44929,0.0012104,8.783e-05,0
BREEZE-M R/B,2004-022C,2024-08-15T09:27:36.176544,2.01486297,0.5897532,23.4452,194.7981,154.1164,254.1367,0,U,28360,999,14783,0,-2.49e-06,0
NAVSTAR 55 (USA 178),2004-023A,2024-08-15T07:12:42.527808,2.00574791,0.0150999,54.4488,113.8699,282.6104,258.2041,0,U,28361,999,14758,0,-1.3e-07,0
APSTAR-5 (TELSTAR 18),2004-024A,2024-08-16T12:41:18.951648,0.99011653,0.0003833,5.2554,77.6089,19.0784,331.5401,0,U,28364,999,7366,0,-3.5e-07,0
BLOCK DM-SL R/B,2004-024B,2024-08-16T11:33:06.899904,3.73395799,0.5977264,0.1255,321.6279,144.1012,235.8559,0,U,28365,999,27470,-0.00033864,-4.1e-07,0
APRIZESAT 2,2004-025A,2024-08-16T02:45:21.744000,14.37384546,0.0107837,98.0811,63.7182,112.8768,248.3848,0,U,28366,999,5535,0.00032067,9.83e-06,0
SL-24 R/B,2004-025B,2024-08-16T02:42:52.062912,13.88419655,0.0349087,98.1774,256.5185,306.1382,117.5426,0,U,28367,999,1993,0.00012348,2e-06,0
DEMETER,2004-025C,2024-08-16T20:25:34.479264,14.79151468,0.0002442,98.037,192.0274,102.6467,257.5017,0,U,28368,999,8154,0.00088083,6.482e-05,0
SAUDICOMSAT 1,2004-025D,2024-08-16T09:52:54.816384,14.54151131,0.0031455,98.5413,211.7805,274.5263,85.234,0,U,28369,999,6673,0.00047514,1.973e-05,0
SAUDICOMSAT 2,2004-025E,2024-08-16T12:11:04.488576,14.48852109,0.0057549,98.6333,212.8261,126.4711,234.1804,0,U,28370,999,6308,0.00044991,1.689e-05,0
SAUDISAT 2,2004-025F,2024-08-16T21:16:19.826112,14.55619345,0.0024873,98.4884,203.9911,189.8737,170.1974,0,U,28371,999,6837,0.00038288,1.629e-05,0
APRIZESAT 1,2004-025G,2024-08-16T10:14:26.761632,14.50805399,0.0045636,98.5957,212.018,33.0845,327.3188,0,U,28372,999,6475,0.0004305,1.67e-05,0
UNISAT-3,2004-025H,2024-08-15T21:33:15.332832,14.47468647,0.0066079,98.6541,209.0096,215.7711,143.9046,0,U,28373,999,6201,0.00050853,1.87e-05,0
SL-24 DEB,2004-025J,2024-08-16T10:34:56.910144,14.67804856,0.0016187,98.1406,179.6036,317.6929,156.2098,0,U,28374,999,7320,0.0032833,0.00018768,0
ECHO (AO-51),2004-025K,2024-08-16T10:21:20.757600,14.42978406,0.0080611,98.5649,174.4964,329.482,30.1691,0,U,28375,999,5895,0.0004543,1.533e-05,0
AURA,2004-026A,2024-08-16T12:38:46.175712,14.58882485,6.66e-05,98.2523,173.9602,108.0705,252.0567,0,U,28376,999,6847,0.00084167,3.896e-05,0
ANIK F2,2004-027A,2024-08-16T15:02:16.976832,1.00272173,0.0003087,1.5558,88.0904,18.5889,333.2749,0,U,28378,999,7364,0,-4.8e-07,0
ARIANE 5 R/B,2004-027B,2024-08-16T12:32:11.344128,2.07956799,0.7277012,6.512,159.0912,18.5844,163.9808,0,U,28379,999,15259,-0.0039504,-2.42e-06,0
COSMOS 2407,2004-028A,2024-08-16T10:27:52.964352,13.76225623,0.003842,82.9596,210.7855,327.5605,146.5338,0,U,28380,999,775,0.00017944,1.91e-06,0
SL-8 R/B,2004-028B,2024-08-16T09:44:14.387712,13.78475603,0.0030335,82.9591,189.4322,241.3326,230.7392,0,U,28381,999,948,0.00016641,1.84e-06,0
DOUBLESTAR TC-2,2004-029A,2024-08-15T06:07:21.943776,2.525018,0.7007061,87.5512,248.2568,273.0074,15.943,0,U,28382,999,16359,0.00097071,7.53e-06,0
CZ-2C R/B,2004-029B,2024-08-16T01:45:20.013120,2.28533771,0.7293534,87.6494,247.2637,346.4105,1.6151,0,U,28448,999,15595,0.0015484,0.00014007,0
SL-16 DEB,2004-021G,2024-08-12T06:00:40.840416,13.90006651,0.0187589,70.9226,211.1191,151.4067,209.7488,0,U,29105,999,55992,0.0071904,0.00010188,0
SL-16 DEB,2004-021H,2024-08-13T02:10:55.409376,13.84108021,0.0205491,71.0938,351.2547,328.3273,30.56,0,U,32005,999,55618,0.013903,0.00018231,0
SL-16 DEB,2004-021J,2024-08-13T10:24:42.695136,13.86469437,0.0177551,71.0935,243.3559,204.5082,154.7512,0,U,32006,999,56307,0.0045208,5.896e-05,0
SL-24 DEB,2004-025L,2024-08-14T03:19:42.563712,14.03596732,0.0305906,98.2184,298.0391,147.581,214.4565,0,U,37586,999,71226,0.0063553,0.00015108,0
AMC-15,2004-041A,2024-08-16T14:02:39.849216,1.00271133,0.0002471,0.0675,284.274,217.5467,289.2492,0,U,28446,999,7259,0,-8.5e-07,0
BREEZE-M R/B,2004-041B,2024-08-16T02:34:42.720096,1.86975418,0.520553,18.0875,305.1948,340.8053,223.3711,0,U,28447,999,13548,0,-8.9e-07,0
FENGYUN 2C,2004-042A,2024-08-16T06:07:56.972928,0.98084596,0.0003212,11.3496,35.8569,27.6841,331.2789,0,U,28451,999,3459,0,-1.84e-06,0
EXPRESS-AM1,2004-043A,2024-08-16T11:39:00.877248,0.99193904,0.0007974,10.1726,45.2104,206.4601,187.782,0,U,28463,999,7207,0,-1.93e-06,0
SL-12 R/B(2),2004-043D,2024-08-16T21:48:33.184224,1.0010649,0.0010098,12.5656,21.1497,137.6412,220.9378,0,U,28466,999,7240,0,-1.79e-06,0
JB-3 3 (ZY 2C),2004-044A,2024-08-16T09:57:10.253664,15.10729601,0.0040241,97.2123,43.2792,37.8927,322.5123,0,U,28470,999,8633,0.00054147,9.093e-05,0
AMC-16,2004-048A,2024-08-16T12:43:26.771808,0.99103603,0.0002489,2.8531,84.7937,132.3107,219.0257,0,U,28472,999,7184,0,-7.8e-07,0
ATLAS 5 CENTAUR R/B,2004-048B,2024-08-15T20:26:03.747264,2.06073804,0.5704084,18.7559,67.5487,237.1798,55.0102,0,U,28473,999,14802,0,9e-07,0
NAVSTAR 56 (USA 180),2004-045A,2024-08-16T11:33:46.421856,2.00561769,0.0162589,55.4158,351.7991,293.8722,244.3984,0,U,28474,999,14499,0,-8.1e-07,0
BREEZE-M DEB [TANK],2004-041C,2024-08-15T15:59:23.524800,2.23818866,0.6770387,48.1702,262.9851,337.2265,3.4513,0,U,28477,999,16202,0,6.5e-07,0
SHIYAN 2 (SY-2),2004-046A,2024-08-16T16:02:14.935488,14.63920786,0.000928,98.0742,241.0161,205.7436,154.3305,0,U,28479,999,5183,0.00076592,3.963e-05,0
CZ-2C R/B,2004-046B,2024-08-16T20:04:11.927424,14.26452469,0.0141433,98.1643,170.0017,40.394,320.7642,0,U,28480,999,2724,0.00052655,1.368e-05,0
CZ-2C DEB,2004-046C,2024-08-16T00:59:55.080672,14.46192735,0.0114629,98.0069,243.0257,26.105,32.6561,0,U,28481,999,3379,0.0036872,0.0001429,0
CZ-2C DEB,2004-046D,2024-08-16T03:31:44.317344,14.43133564,0.0118013,98.6824,290.0923,65.2382,349.4069,0,U,28482,999,3164,0.0034502,0.00012575,0
CZ-2C DEB,2004-046E,2024-08-16T13:51:05.073120,14.5792513,0.0089834,98.2414,344.4896,189.8342,235.9211,0,U,28483,999,3835,0.0064868,0.00031536,0
CZ-2C DEB,2004-046F,2024-08-16T10:22:21.281664,14.50365146,0.0093586,98.4257,295.192,163.4258,261.5208,0,U,28484,999,3602,0.0040372,0.00016657,0
SWIFT,2004-047A,2024-08-16T19:39:51.783840,15.21142631,0.0008503,20.5557,106.5245,344.7774,15.2406,0,U,28485,999,8356,0.0012072,0.00028366,0
FENGYUN 2C AKM,2004-042C,2024-08-16T12:13:05.345760,1.01342052,0.0018593,11.7981,23.4978,323.8806,56.6365,0,U,28491,999,7282,0,-2.23e-06,0
HELIOS 2A,2004-049A,2024-08-16T19:19:28.454016,14.98170059,0.0012254,98.3228,227.2506,7.3779,352.762,0,U,28492,999,5337,0.00063408,7.468e-05,0
NANOSAT-1,2004-049B,2024-08-16T18:00:55.556064,14.76850688,0.0002977,98.1511,343.8455,287.9846,72.1039,0,U,28493,999,5653,0.0006758,4.696e-05,0
PARASOL,2004-049G,2024-08-16T12:13:54.155712,14.7182512,0.0014412,98.4559,19.4924,346.5865,13.4955,0,U,28498,999,5061,0.00066384,4.104e-05,0
ARIANE 5 R/B,2004-049H,2024-08-16T19:07:32.349216,14.82878614,0.0088454,98.1916,9.1995,37.6329,323.1028,0,U,28499,999,6127,0.00038577,3.286e-05,0
FENGYUN 2C DEB,2004-042D,2024-08-12T21:41:42.202752,1.0031916,0.0056823,12.0366,24.281,95.6775,265.0396,0,U,40000,999,583,0,-3.03e-06,0
EXPRESS-AM2,2005-010A,2024-08-16T14:28:38.817984,0.99039719,0.0023926,8.1424,61.6591,87.0758,257.6004,0,U,28629,999,3392,0,5.6e-07,0
SL-12 R/B(AUX MOTOR),2005-010D,2024-08-16T02:32:00.584448,6.01032524,0.4791809,47.3421,58.7765,239.5351,64.7533,0,U,28632,999,31666,0.0020591,0.00021513,0
SL-12 R/B(2),2005-010F,2024-08-16T13:21:09.916128,1.00312514,0.0020226,12.4182,23.1392,245.7198,308.974,0,U,28634,999,7098,0,7.7e-07,0
MINOTAUR R/B,2005-011B,2024-08-16T05:58:44.965920,14.11968452,0.0013725,98.7426,229.9203,27.928,332.2625,0,U,28637,999,99680,0.0002487,4.12e-06,0
APSTAR-6,2005-012A,2024-08-16T12:58:38.853408,0.98573516,0.0005813,5.6398,77.1389,304.316,300.9547,0,U,28638,999,9543,0,-2.31e-06,0
SPACEWAY 1,2005-015A,2024-08-16T04:44:52.039392,0.98489498,0.0005798,4.9647,78.5673,96.1673,269.3106,0,U,28644,999,3958,0,5e-08,0
BLOCK DM-SL R/B,2005-015B,2024-08-16T06:06:31.947552,3.18183126,0.6607315,0.385,341.9277,18.6448,359.7978,0,U,28645,999,19597,0.0013964,9.017e-05,0
TITAN 4B R/B,2005-016B,2024-08-16T01:09:12.212928,15.20523025,0.0098136,56.9982,140.1324,28.0023,332.6252,0,U,28647,999,28961,0.00092008,0.00022882,0
IRS-P5 (CARTOSAT-1),2005-017A,2024-08-16T02:16:03.434016,14.87390822,0.0002696,97.6105,270.0705,109.4285,250.7224,0,U,28649,999,4406,0.00043587,3.89e-05,0
HAMSAT (VO-52),2005-017B,2024-08-16T05:18:40.148064,14.98733575,0.0020371,97.988,217.0631,119.686,240.6393,0,U,28650,999,4598,0.0010135,0.00012199,0
PSLV R/B,2005-017C,2024-08-16T19:15:41.449248,14.76491597,0.0068893,97.9028,136.0814,312.8103,46.7328,0,U,28651,999,3616,0.00059818,4.278e-05,0
NOAA 18,2005-018A,2024-08-16T19:28:02.896032,14.13288127,0.0013282,98.872,306.2681,249.5373,110.4374,0,U,28654,999,99182,0.00041438,7.33e-06,0
DIRECTV 8,2005-019A,2024-08-16T14:51:36.252576,1.00271535,0.0003008,0.0137,107.0072,45.0299,277.3019,0,U,28659,999,7047,0,4e-08,0
BREEZE-M R/B,2005-019B,2024-08-16T13:04:04.266048,1.54370267,0.3386604,8.7585,159.4307,326.7838,221.3344,0,U,28660,999,10820,0,-8.8e-07,0
BREEZE-M DEB [TANK],2005-019C,2024-08-16T07:37:40.041120,4.07022824,0.5968673,49.3872,201.0037,181.1943,176.3788,0,U,28661,999,26597,0.0015561,5.888e-05,0
PSLV DEB,2005-017F,2024-08-15T07:17:41.254944,15.00289861,0.0051097,98.1997,247.9987,135.8536,288.2566,0,U,38842,999,75460,0.001934,0.00024915,0
JCSAT-5A,2006-010A,2024-08-16T21:34:03.434304,1.00269278,0.0001246,0.0486,270.8661,294.7605,215.6843,0,U,29045,999,6723,0,-3.26e-06,0
BLOCK DM-SL R/B,2006-010B,2024-08-16T12:18:35.929440,2.19414686,0.6788392,0.9139,9.7694,326.6594,3.2687,0,U,29046,999,14709,0,-2.05e-06,0
FORMOSAT-3 FM6,2006-011A,2024-08-16T12:39:23.696640,14.30157937,0.0051001,71.9758,243.1743,315.3397,44.3636,0,U,29047,999,95860,0.00061505,1.573e-05,0
FORMOSAT-3 FM1,2006-011B,2024-08-16T07:18:47.810592,14.30140862,0.0044623,71.9674,152.8211,278.0589,81.5486,0,U,29048,999,96104,0.00070465,1.802e-05,0
FORMOSAT-3 FM5,2006-011C,2024-08-16T10:27:34.664832,14.30201629,0.0036005,72.0224,332.8315,290.4383,69.289,0,U,29049,999,95686,0.00069576,1.774e-05,0
FORMOSAT-3 FM3,2006-011D,2024-08-16T09:28:44.912064,14.62944346,0.0044769,72.0175,319.9542,74.5293,286.0799,0,U,29050,999,97829,0.001031,5.312e-05,0
FORMOSAT-3 FM4,2006-011E,2024-08-16T12:31:26.649408,14.30284582,0.0066745,72.0023,231.6656,174.4395,185.7499,0,U,29051,999,95946,0.00065568,1.702e-05,0
FORMOSAT-3 FM2,2006-011F,2024-08-16T11:42:39.860640,14.30376757,0.0041022,72.0355,310.5243,247.5917,112.0873,0,U,29052,999,95696,0.0007385,1.897e-05,0
ASTRA 1KR,2006-012A,2024-08-16T06:19:51.254688,1.00274113,0.0004635,0.0731,278.9152,269.1967,251.2058,0,U,29055,999,3899,0,1.24e-06,0
ATLAS 5 CENTAUR R/B,2006-012B,2024-08-16T06:57:33.192864,1.96353074,0.5328127,23.557,259.6689,136.9559,334.0299,0,U,29056,999,13143,0,1.09e-06,0
EROS B,2006-014A,2024-08-16T17:11:52.833408,15.17396344,0.0008786,97.3364,341.9719,85.0666,275.1571,0,U,29079,999,1671,0.0020349,0.00040832,0
RSS-1 (YAOGAN-1),2006-015A,2024-08-16T12:09:38.223360,14.85526439,0.0001513,97.8028,253.7519,95.8789,264.2599,0,U,29092,999,99028,0.00037995,3.23e-05,0
CLOUDSAT,2006-016A,2024-08-16T12:21:24.615072,14.8291917,0.0004936,98.4119,218.2277,349.8548,10.2563,0,U,29107,999,97510,0.00066628,5.349e-05,0
CALIPSO,2006-016B,2024-08-16T21:37:12.128448,14.66155228,0.0001455,98.4222,213.2996,103.1466,256.9899,0,U,29108,999,97486,0.00089059,4.848e-05,0
DELTA 2 DEB [DPAF],2006-016D,2024-08-16T12:48:15.669216,14.91942634,0.0003933,98.4049,85.1381,66.2021,328.3482,0,U,29110,999,98274,0.0026003,0.0002635,0
EWS-G1 (GOES 13),2006-018A,2024-08-16T19:48:42.647904,0.98998575,0.0072937,2.7787,84.5756,256.4036,248.5703,0,U,29155,999,6676,0,-2.34e-06,0
DELTA 4 R/B,2006-018B,2024-08-16T12:58:24.379680,1.93076649,0.5231203,13.5617,342.6912,246.7223,20.3048,0,U,29156,999,12853,0,-1.75e-06,0
CZ-4B DEB,2006-015C,2024-08-15T03:57:33.377760,14.69060521,0.0127425,97.7991,190.0008,354.1711,5.8004,0,U,29536,999,96458,0.004939,0.00032912,0
CZ-4B DEB,2006-015D,2024-08-15T21:10:30.900576,14.624222,0.0146507,97.8246,256.5553,107.2493,254.4802,0,U,29537,999,96352,0.0027224,0.00016059,0
CZ-4B DEB,2006-015E,2024-08-16T12:17:57.069312,14.80083514,0.0105366,98.0188,334.0484,163.8091,196.653,0,U,29538,999,96847,0.0053391,0.00044682,0
CZ-4B DEB,2006-015F,2024-08-16T10:56:40.154784,14.77385532,0.0105553,97.8391,295.8094,115.3928,301.1252,0,U,29539,999,96986,0.0036324,0.00028383,0
YAOGAN-1 DEB,2006-015J,2024-08-16T03:41:06.311328,14.99176242,0.0015924,97.8806,277.101,300.0385,59.9257,0,U,36365,999,78725,0.0011123,0.00013531,0
DMSP 5D-3 F17 (USA 191),2006-050A,2024-08-16T21:03:56.796480,14.14530917,0.0010416,98.7451,239.2039,160.3024,199.8554,0,U,29522,999,91777,0.00038582,6.97e-06,0
DMSP 5D-3 F17 DEB,2006-050C,2024-08-16T00:55:25.853952,14.25714235,0.0004845,98.5987,249.7452,333.6508,80.9423,0,U,29524,999,92030,0.0024452,5.764e-05,0
DMSP 5D-3 F17 DEB,2006-050D,2024-08-16T01:24:37.641600,14.26587741,0.0003139,98.5827,249.4063,321.7988,98.8764,0,U,29525,999,92070,0.0025272,6.061e-05,0
BADR-4,2006-051A,2024-08-16T13:13:53.829408,1.00269119,0.0001795,0.2663,83.974,99.6691,6.4917,0,U,29526,999,4455,0,1.48e-06,0
BREEZE-M R/B,2006-051B,2024-08-16T11:02:39.687648,2.09458935,0.6313397,13.7171,116.9252,37.4422,353.0278,0,U,29527,999,13602,0,-2.59e-06,0
BREEZE-M DEB [TANK],2006-051C,2024-08-14T08:05:54.048768,3.64286721,0.6055567,51.0863,165.5718,280.1657,308.301,0,U,29528,999,23640,7.878e-05,8.8e-07,0
DMSP 5D-3 F17 DEB,2006-050BS,2024-08-16T00:54:41.791680,14.29409239,0.0005133,98.5783,256.4152,320.9059,103.9054,0,U,29600,999,91936,0.0029304,7.437e-05,0
NAVSTAR 59 (USA 192),2006-052A,2024-08-16T07:50:22.199712,2.00571074,0.0084268,55.1157,240.5832,83.5289,277.4793,0,U,29601,999,12997,0,9e-07,0
DMSP 5D-3 F17 DEB,2006-050BV,2024-08-16T01:26:57.422112,14.34516742,0.0005909,98.5506,265.1093,317.4851,42.5876,0,U,29637,999,91871,0.0037084,0.00010433,0
FENGYUN 2D,2006-053A,2024-08-16T15:02:55.144896,0.98191955,0.0010633,9.6719,45.8299,32.1631,160.8926,0,U,29640,999,6441,0,-3.2e-07,0
FENGYUN 2D AKM,2006-053C,2024-08-16T02:57:41.421312,0.9935532,0.0109692,10.5696,43.0839,32.6434,327.0564,0,U,29642,999,3959,0,5.3e-07,0
WILDBLUE-1,2006-054A,2024-08-16T15:02:16.952640,1.00271522,0.0001865,1.0633,89.4552,48.5045,301.9226,0,U,29643,999,6483,0,-4.7e-07,0
AMC-18,2006-054B,2024-08-16T12:22:13.401696,0.98856683,0.0009331,0.8492,99.0887,79.3205,238.4353,0,U,29644,999,6476,0,6e-08,0
ARIANE 5 R/B,2006-054D,2024-08-16T05:07:41.630592,2.7244112,0.6941723,2.6906,117.457,350.3931,1.3515,0,U,29646,999,15965,0.002056,0.00010714,0
MEASAT-3,2006-056A,2024-08-16T12:11:44.524608,0.99754615,0.0001839,2.9907,84.6674,111.7009,120.9408,0,U,29648,999,4370,0,-1.36e-06,0
BREEZE-M DEB [TANK],2006-056B,2024-08-16T13:01:11.019360,5.1481285,0.5266105,49.4995,91.6152,16.9663,355.5673,0,U,29649,999,31981,0.0017758,6.25e-05,0
BREEZE-M R/B,2006-056C,2024-08-16T09:32:25.714176,1.86163853,0.5070998,15.373,150.1296,131.0586,356.8699,0,U,29650,999,12010,0,-2.9e-07,0
KIKU-8 (ETS-VIII),2006-059A,2024-08-16T04:16:42.872736,0.99007782,0.0006878,10.2874,44.4553,136.235,230.3566,0,U,29656,999,6440,0,-6.5e-07,0
H-2A R/B,2006-059B,2024-08-16T06:53:51.868896,5.90844094,0.4899003,28.6126,215.0587,314.0743,14.7092,0,U,29657,999,27701,0.0017229,0.00065512,0
HINODE (SOLAR-B),2006-041A,2024-08-16T10:53:27.249504,14.66703123,0.0016537,98.0887,243.9466,248.3851,111.5591,0,U,29479,999,95661,0.00055953,3.072e-05,0
NAVSTAR 58 (USA 190),2006-042A,2024-08-16T13:51:40.898016,2.00552156,0.0104276,54.6791,177.8951,39.7314,85.6021,0,U,29486,999,13096,0,2.3e-07,0
