OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4001,2022-052AG,2024-08-16T10:29:07.897344,15.08832204,0.0001209,53.2163,324.0891,83.0358,277.0772,0,U,52628,999,12507,-8.0673e-05,-1.571e-05,0
STARLINK-4022,2022-052AH,2024-08-16T09:08:58.532928,15.08836725,0.0001568,53.2175,309.2971,88.0471,272.07,0,U,52629,999,12527,0.0002493,3.681e-05,0
STARLINK-3989,2022-052AJ,2024-08-16T09:30:10.467936,15.08852159,0.0001198,53.2168,309.2708,82.5789,277.534,0,U,52630,999,12489,0.00091698,0.00014341,0
STARLINK-3794,2022-052AK,2024-08-16T09:10:21.760320,15.08842907,0.0001819,53.217,309.3411,113.9434,246.1748,0,U,52631,999,12490,0.00097702,0.00015297,0
STARLINK-3995,2022-052AL,2024-08-16T09:24:52.402752,15.08856487,0.0001245,53.2169,309.284,90.686,269.4275,0,U,52632,999,12490,0.0011117,0.00017457,0
STARLINK-3994,2022-052AM,2024-08-16T10:28:28.096320,15.08843113,0.0001353,53.2174,309.0897,87.2389,272.8758,0,U,52633,999,12491,0.00020739,3.015e-05,0
STARLINK-3974,2022-052AN,2024-08-16T09:14:17.158848,15.0885254,0.0002544,53.2171,309.3453,85.666,274.4623,0,U,52634,999,12489,0.00095201,0.00014901,0
STARLINK-3978,2022-052AP,2024-08-16T10:03:18.639072,15.08852533,0.000144,53.2166,299.1654,68.1363,291.9782,0,U,52635,999,12504,0.00095656,0.00014974,0
STARLINK-3967,2022-052AQ,2024-08-16T09:03:40.842720,15.0886634,0.000127,53.2162,309.3529,93.4252,266.6885,0,U,52636,999,12489,0.0021492,0.00034107,0
STARLINK-3961,2022-052AR,2024-08-16T09:57:59.755680,15.08845633,0.0001451,53.216,299.1838,104.0278,256.0875,0,U,52637,999,12584,0.00037092,5.621e-05,0
STARLINK-3941,2022-052AS,2024-08-16T10:33:46.011168,15.08846565,0.000153,53.2165,309.0738,102.4477,257.6686,0,U,52638,999,12571,-1.6132e-05,-5.45e-06,0
STARLINK-3968,2022-052AT,2024-08-16T09:42:05.958432,15.08845723,0.0001822,53.2162,299.2307,108.6063,251.5127,0,U,52639,999,12584,0.00021966,3.21e-05,0
STARLINK-3977,2022-052AU,2024-08-16T16:30:07.922016,15.08870124,0.0001647,53.2163,297.9881,85.7397,274.3783,0,U,52640,999,12545,0.00098377,0.00015416,0
STARLINK-3991,2022-052AV,2024-08-16T10:04:42.397824,15.08852435,0.0001613,53.216,299.3646,64.4935,295.6224,0,U,52641,999,12541,5.0252e-05,5.12e-06,0
STARLINK-3971,2022-052AW,2024-08-16T09:52:42.151872,15.08873976,0.0001513,53.2153,299.2034,72.6404,287.4754,0,U,52642,999,12541,0.0014738,0.00023267,0
STARLINK-3963,2022-052AX,2024-08-16T09:16:58.647360,15.08841968,0.0001806,53.2155,299.2822,75.4709,284.6483,0,U,52643,999,12503,9.0335e-05,1.15e-05,0
STARLINK-3985,2022-052AY,2024-08-16T09:47:23.668512,15.08857571,0.0001847,53.2158,299.2187,119.4449,240.6728,0,U,52644,999,12503,0.00079472,0.00012389,0
STARLINK-3973,2022-052AZ,2024-08-16T09:31:31.069632,15.08847351,0.0001279,53.2138,299.3709,106.9325,253.1808,0,U,52645,999,12503,-6.5321e-05,-1.328e-05,0
STARLINK-3832,2022-052BA,2024-08-16T09:36:48.250944,15.08852668,0.0001567,53.2167,299.2888,97.1819,262.9352,0,U,52646,999,12504,0.00013368,1.841e-05,0
STARLINK-3846,2022-052BB,2024-08-16T09:20:55.296096,15.08839095,0.0001446,53.2153,299.4038,72.6987,287.4163,0,U,52647,999,12504,5.33e-05,5.6e-06,0
STARLINK-3854,2022-052BC,2024-08-16T09:26:11.742144,15.08838096,0.0001384,53.2171,299.2848,74.2288,285.8857,0,U,52648,999,12503,-6.4755e-05,-1.318e-05,0
STARLINK-3868,2022-052BD,2024-08-16T10:24:27.887904,15.0884891,0.0001191,53.2165,298.9541,82.9744,277.1384,0,U,52649,999,12505,0.0006678,0.00010359,0
STARLINK-3891,2022-052BE,2024-08-16T09:38:08.583936,15.08851677,0.0001715,53.2175,289.357,80.5784,279.5402,0,U,52650,999,12555,-6.0382e-05,-1.249e-05,0
STARLINK-4004,2022-053A,2024-08-16T21:28:55.752672,15.08845567,0.0001218,53.2164,192.0379,86.8231,273.2901,0,U,52656,999,12509,0.00020237,2.935e-05,0
STARLINK-4084,2022-053B,2024-08-16T04:52:44.154912,15.08842062,0.0001648,53.2149,195.4527,75.4546,284.6629,0,U,52657,999,12528,0.00028589,4.265e-05,0
STARLINK-4082,2022-053C,2024-08-16T04:03:36.371808,15.08845556,0.0001335,53.2149,195.2875,98.9077,261.2067,0,U,52658,999,12510,0.00032083,4.823e-05,0
STARLINK-3960,2022-053D,2024-08-16T05:33:41.419296,15.08860879,0.0001397,53.2142,194.9587,86.3338,273.7814,0,U,52659,999,12510,0.00088586,0.00013847,0
STARLINK-4081,2022-053E,2024-08-16T05:28:23.794752,15.08841683,0.0001449,53.2153,195.0222,84.8547,275.261,0,U,52660,999,12499,0.00031072,4.661e-05,0
STARLINK-4042,2022-053F,2024-08-16T05:23:06.311904,15.08857448,0.0001144,53.2144,195.0388,89.032,271.0803,0,U,52661,999,12492,0.00082333,0.00012846,0
STARLINK-4044,2022-053G,2024-08-16T05:12:30.879648,15.08829696,0.0001188,53.2148,195.0702,89.3031,270.8097,0,U,52662,999,12492,8.5739e-05,1.077e-05,0
STARLINK-4037,2022-053H,2024-08-16T05:07:11.896032,15.08862467,0.000103,53.214,195.0894,103.5678,256.5429,0,U,52663,999,12492,0.00082296,0.00012842,0
STARLINK-4070,2022-053J,2024-08-16T05:17:47.905440,15.0886271,0.0001093,53.214,195.0542,95.9579,264.1537,0,U,52664,999,12492,0.00086888,0.00013576,0
STARLINK-4064,2022-053K,2024-08-16T04:51:17.070624,15.08841126,0.000139,53.2155,195.1389,89.6248,270.4903,0,U,52665,999,12492,0.00025225,3.729e-05,0
STARLINK-4079,2022-053L,2024-08-16T04:08:50.429760,15.08853364,0.0001413,53.2141,194.8851,81.9713,278.1439,0,U,52666,999,12492,0.00057211,8.832e-05,0
STARLINK-4076,2022-053M,2024-08-16T04:45:59.957568,15.08855387,0.0001271,53.2149,195.1558,86.2388,273.8749,0,U,52667,999,12492,0.00057585,8.892e-05,0
STARLINK-4067,2022-053N,2024-08-16T04:56:34.703808,15.08873783,9.71e-05,53.2136,195.1205,76.7314,283.3787,0,U,52668,999,12492,0.00079353,0.00012375,0
STARLINK-3972,2022-053P,2024-08-16T04:30:06.289056,15.08840138,0.00016,53.2162,195.2046,90.4976,269.6199,0,U,52669,999,12491,0.000216,3.151e-05,0
STARLINK-4075,2022-053Q,2024-08-16T05:01:54.681888,15.08852563,0.0001113,53.2146,195.1735,101.5782,258.5335,0,U,52670,999,12492,0.00053832,8.293e-05,0
STARLINK-4071,2022-053R,2024-08-16T04:24:47.945664,15.08846916,0.0001062,53.2164,195.2209,88.4087,271.7027,0,U,52671,999,12491,0.00039754,6.046e-05,0
STARLINK-4073,2022-053S,2024-08-16T20:34:33.246336,15.08855232,0.0001241,53.215,192.1986,110.1247,249.9879,0,U,52672,999,12459,0.00039252,5.967e-05,0
STARLINK-3976,2022-053T,2024-08-16T04:14:12.327648,15.08844005,0.0001485,53.2143,195.2525,97.469,262.6471,0,U,52673,999,12491,0.00030119,4.509e-05,0
STARLINK-3936,2022-053U,2024-08-16T04:35:24.288576,15.08860844,0.0001457,53.2143,195.1887,89.4087,270.7072,0,U,52674,999,12492,0.00073624,0.00011455,0
STARLINK-3934,2022-053V,2024-08-16T04:10:13.960416,15.08850171,0.0001337,53.2147,185.2691,91.9736,268.1409,0,U,52675,999,12461,0.00045574,6.975e-05,0
STARLINK-4006,2022-053W,2024-08-16T04:19:30.201888,15.08847973,0.0001412,53.2151,195.2376,83.5024,276.6129,0,U,52676,999,12491,0.00042862,6.542e-05,0
STARLINK-4028,2022-053X,2024-08-16T21:28:52.447008,15.08857827,0.0001494,53.2147,182.0305,86.9324,273.1839,0,U,52677,999,12472,0.0003199,4.809e-05,0
STARLINK-4074,2022-053Y,2024-08-16T04:26:08.757312,15.08846651,0.0001147,53.2148,185.3254,98.2175,261.8947,0,U,52678,999,12504,0.00026592,3.948e-05,0
STARLINK-4031,2022-053Z,2024-08-16T19:37:35.298624,15.08850337,0.000151,53.2147,182.3757,90.1262,269.9903,0,U,52679,999,12471,0.00026919,4e-05,0
STARLINK-3774,2022-053AA,2024-08-16T03:33:05.482368,15.08842627,0.0001361,53.2164,185.1512,89.6761,270.4387,0,U,52680,999,12502,0.00030505,4.571e-05,0
STARLINK-4068,2022-053AB,2024-08-16T03:38:26.009088,15.08858951,0.000114,53.2143,185.3646,105.3895,254.7223,0,U,52681,999,12500,0.0004585,7.02e-05,0
